competitor,category,archetype,target_user,jtbd,features,pricing_model,scope,breadth_score,autonomy_score,workflow_score,trust_score,threat_score,strength,weakness,source_url,source_type,date_checked,confidence
Kickresume,Job trackers and resume optimization tools,Career workflow optimizer,active job seekers,improve resumes and track applications,"resume scoring, ATS keywords, trackers, cover letters",freemium or subscription,jobs only,1,1,4,3,2,sticky workflow once applications start,little discovery advantage outside jobs,https://www.kickresume.com/,official,2026-05-03,Medium
Opportunity Desk,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,https://opportunitydesk.org/,official,2026-05-03,Medium
HeySuccess,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,https://www.heysuccess.com/,official,2026-05-03,Medium
Youth Opportunities,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,,estimate,2026-05-03,Low
Global Opportunity Desk,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,,estimate,2026-05-03,Low
Opportunities for Youth,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,https://opportunitiesforyouth.org/,official,2026-05-03,Medium
ProFellow,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"curated fellowships, graduate programs, accelerators, application guidance","mostly free, ads, partnerships, media",fellowships and funded programs,4,1,1,2,4,crosses categories that look much closer to op2u than job tools do,still directory-heavy rather than workflow-heavy,https://www.profellow.com/,official,2026-05-03,High
EURAXESS,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"jobs, funding offers, hosting offers, regional and EU funding references","mostly free, ads, partnerships, media",research mobility and funding,4,1,2,2,5,official network effects and strong researcher trust,research-focused and not a personal opportunity OS,https://euraxess.ec.europa.eu/jobs,official,2026-05-03,High
Mladiinfo,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,https://www.mladiinfo.eu/,official,2026-05-03,Medium
AfterSchoolAfrica,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,https://www.afterschoolafrica.com/,official,2026-05-03,Medium
InfoOpp,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,,estimate,2026-05-03,Low
YouthAtlas,Global opportunity directories,Opportunity directory,students and globally mobile talent,discover open calls across multiple opportunity types,"listings, newsletters, topical filters, editorial curation","mostly free, ads, partnerships, media",multi-opportunity discovery,4,1,1,2,4,broad awareness and SEO reach,weak personalization and little workflow support,https://www.youthatlas.com/,official,2026-05-03,Medium
ScholarshipPortal,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship matching, alerts, essay tips, application guidance","free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,clear user intent and high search volume,often U.S.-centric and weak on broader life opportunities,https://www.scholarshipportal.com/,official,2026-05-03,Medium
ScholarshipOwl,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,eligibility matching and scholarship workflow support,"free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,automation language resonates with overwhelmed students,still single-vertical and often distrusted by scholarship communities,https://scholarshipowl.com/,official,2026-05-03,High
Fastweb,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship search, financial-aid content, vetted listings",free,education funding,3,1,2,2,3,free and large database for student funding,college-centric and largely U.S.-oriented,https://www.fastweb.com/,official,2026-05-03,High
Going Merry,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship matching, alerts, essay tips, application guidance","free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,clear user intent and high search volume,often U.S.-centric and weak on broader life opportunities,https://goingmerry.com/,official,2026-05-03,Medium
Bold.org,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship matching, alerts, essay tips, application guidance","free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,clear user intent and high search volume,often U.S.-centric and weak on broader life opportunities,https://bold.org/,official,2026-05-03,Medium
DAAD,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship matching, alerts, essay tips, application guidance","free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,clear user intent and high search volume,often U.S.-centric and weak on broader life opportunities,https://www.daad.de/en/,official,2026-05-03,Medium
WeMakeScholars,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship matching, alerts, essay tips, application guidance","free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,clear user intent and high search volume,often U.S.-centric and weak on broader life opportunities,https://www.wemakescholars.com/,official,2026-05-03,Medium
Studyportals,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship matching, alerts, essay tips, application guidance","free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,clear user intent and high search volume,often U.S.-centric and weak on broader life opportunities,https://www.studyportals.com/,official,2026-05-03,Medium
Scholarships.com,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship matching, alerts, essay tips, application guidance","free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,clear user intent and high search volume,often U.S.-centric and weak on broader life opportunities,https://www.scholarships.com/,official,2026-05-03,Medium
ScholarshipsAds,Scholarship and education funding platforms,Scholarship aggregator,students and degree applicants,find scholarships and funding opportunities,"scholarship matching, alerts, essay tips, application guidance","free, freemium, lead generation, sponsorship",education funding,3,1,2,2,3,clear user intent and high search volume,often U.S.-centric and weak on broader life opportunities,https://www.scholarshipsads.com/page/about-us/,official,2026-05-03,Medium
GrantForward,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"advanced search, personalized grant recommendations, database of sponsors and opportunities",subscription or enterprise,research and grant funding,2,1,4,4,2,established academic funding database,research-specific and institution-led usage,https://www.grantforward.com/index?lang=en,official,2026-05-03,High
Pivot-RP,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"global funding database, sponsor coverage, researcher discovery",subscription or enterprise,research and grant funding,2,1,4,4,2,institutional adoption and curated funding coverage,enterprise-style access and research focus,https://research.mit.edu/research-development/pivot-comprehensive-funding-search-tool,official,2026-05-03,High
Instrumentl,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"grant prospecting, tracking, peer prospecting, integrations, AI apply advisor","Standard $299/mo, Pro $499/mo, Advanced $899/mo annual billing equivalents published",research and grant funding,2,1,5,4,2,serious end-to-end grant workflow depth,institutional price point and nonprofit framing,https://www.instrumentl.com/pricing,official,2026-05-03,High
OpenGrants,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"grant database across federal, state, local sources",subscription or enterprise,research and grant funding,2,1,4,4,2,modern grant data layer with API orientation,public-capital focus rather than life-opportunity breadth,https://opengrants.io/,official,2026-05-03,High
GrantX,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,AI-native grant discovery and matching,subscription or enterprise,research and grant funding,2,1,4,4,2,evidence that AI is moving into grant discovery specifically,still narrow and early,https://grantx.com/,official,2026-05-03,Medium
Candid Foundation Directory,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,funding research database for U.S. grantmakers,subscription or enterprise,research and grant funding,2,1,4,4,2,strong brand and nonprofit trust,"primarily organizational fundraising, not individual opportunity seeking",https://fconline.foundationcenter.org/,official,2026-05-03,High
Grants.gov,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"searchable databases, alerts, opportunity filters, sponsor history",subscription or enterprise,research and grant funding,2,1,4,4,2,structured data and serious workflow depth,"expensive and usually built for institutions, not individuals",https://www.grants.gov/,official,2026-05-03,Medium
EU Funding & Tenders Portal,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"searchable databases, alerts, opportunity filters, sponsor history",subscription or enterprise,research and grant funding,2,1,4,4,2,structured data and serious workflow depth,"expensive and usually built for institutions, not individuals",https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,official,2026-05-03,Medium
GrantStation,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"searchable databases, alerts, opportunity filters, sponsor history",subscription or enterprise,research and grant funding,2,1,4,4,2,structured data and serious workflow depth,"expensive and usually built for institutions, not individuals",https://grantstation.com/,official,2026-05-03,Medium
FoundationSearch,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"searchable databases, alerts, opportunity filters, sponsor history",subscription or enterprise,research and grant funding,2,1,4,4,2,structured data and serious workflow depth,"expensive and usually built for institutions, not individuals",https://www.foundationsearch.com/OurServices/foundationsearch.aspx,official,2026-05-03,Medium
GrantWatch,Research grant databases,Grant database,researchers and grant seekers,find funders and maintain a funding pipeline,"searchable databases, alerts, opportunity filters, sponsor history",subscription or enterprise,research and grant funding,2,1,4,4,2,structured data and serious workflow depth,"expensive and usually built for institutions, not individuals",,estimate,2026-05-03,Low
Fluxx,Nonprofit and grant management platforms,Grant workflow system,nonprofit teams and funders,"manage grants, submissions, and post-award work","CRM, submission workflows, review portals, reporting",enterprise,team grant operations,2,1,5,4,1,deep operational workflow ownership,too heavy for individual opportunity seekers,https://www.fluxx.io/,official,2026-05-03,Medium
Foundant,Nonprofit and grant management platforms,Grant workflow system,nonprofit teams and funders,"manage grants, submissions, and post-award work","CRM, submission workflows, review portals, reporting",enterprise,team grant operations,2,1,5,4,1,deep operational workflow ownership,too heavy for individual opportunity seekers,https://www.foundant.com/,official,2026-05-03,Medium
Blackbaud Grantmaking,Nonprofit and grant management platforms,Grant workflow system,nonprofit teams and funders,"manage grants, submissions, and post-award work","CRM, submission workflows, review portals, reporting",enterprise,team grant operations,2,1,5,4,1,deep operational workflow ownership,too heavy for individual opportunity seekers,https://www.blackbaud.com/industry/grantmaking,official,2026-05-03,Medium
Submittable,Nonprofit and grant management platforms,Grant workflow system,nonprofit teams and funders,"manage grants, submissions, and post-award work","submission workflows, review portals, grant and program management",enterprise,team grant operations,2,1,5,4,1,official workflow layer for many programs,sits downstream of discovery,https://www.submittable.com/,official,2026-05-03,Medium
SmartSimple,Nonprofit and grant management platforms,Grant workflow system,nonprofit teams and funders,"manage grants, submissions, and post-award work","CRM, submission workflows, review portals, reporting",enterprise,team grant operations,2,1,5,4,1,deep operational workflow ownership,too heavy for individual opportunity seekers,https://www.smartsimple.com/,official,2026-05-03,Medium
Res Artis,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions",worldwide artist residency network and member listings,"free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,network legitimacy in arts residencies,more network than workflow product,https://resartis.org/,official,2026-05-03,Medium
TransArtists,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions","residency database, open calls, guides","free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,largest residency database claim and strong niche trust,creative-vertical only,https://www.transartists.org/en/residencies,official,2026-05-03,High
On the Move,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions","open-call listings, portfolio submissions, community curation","free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,strong fit for artists with domain-specific supply,fragmented and uneven data quality,https://on-the-move.org/,official,2026-05-03,Medium
ArtConnect,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions","open-call listings, portfolio submissions, community curation","free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,strong fit for artists with domain-specific supply,fragmented and uneven data quality,https://www.artconnect.com/,official,2026-05-03,Medium
ArtRabbit,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions","open-call listings, portfolio submissions, community curation","free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,strong fit for artists with domain-specific supply,fragmented and uneven data quality,https://www.artrabbit.com/about/artrabbit,official,2026-05-03,Medium
Submittable Discover,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions",opportunity discovery tied to a submission platform,"free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,bridges discovery and actual submission portal,stronger in writing and arts than broad mobility,https://discover.submittable.com/,official,2026-05-03,High
CaFÉ,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions","open-call listings, portfolio submissions, community curation","free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,strong fit for artists with domain-specific supply,fragmented and uneven data quality,https://www.callforentry.org/,official,2026-05-03,Medium
FilmFreeway,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions","open-call listings, portfolio submissions, community curation","free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,strong fit for artists with domain-specific supply,fragmented and uneven data quality,https://filmfreeway.com/,official,2026-05-03,Medium
CuratorSpace,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions","open-call listings, portfolio submissions, community curation","free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,strong fit for artists with domain-specific supply,fragmented and uneven data quality,https://www.curatorspace.com/,official,2026-05-03,Medium
SlideRoom,Creative residency and open-call platforms,Creative open-call network,"artists, writers, filmmakers, designers","find residencies, open calls, and creative submissions","open-call listings, portfolio submissions, community curation","free, submission fees, SaaS for organizers",creative opportunities,3,1,2,2,3,strong fit for artists with domain-specific supply,fragmented and uneven data quality,https://www.slideroom.com/,official,2026-05-03,Medium
Sessionize,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"CFP, schedule, speaker management",free for community events; professional event plan listed at $499/event,events and speaking,2,1,3,3,2,dominant workflow tool once a conference adopts it,not a discovery-first user agent,https://sessionize.com/pricing,official,2026-05-03,High
PaperCall,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"CFPs, speaker profiles, event scheduling, submissions","free to users, SaaS to organizers, event fees",events and speaking,2,1,3,3,2,official system of record once a user decides to apply,not a broad discovery or strategy layer,https://www.papercall.io/,official,2026-05-03,Medium
WikiCFP,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"CFPs, speaker profiles, event scheduling, submissions","free to users, SaaS to organizers, event fees",events and speaking,2,1,3,3,2,official system of record once a user decides to apply,not a broad discovery or strategy layer,https://www.wikicfp.com/,official,2026-05-03,Medium
Conference Alerts,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"CFPs, speaker profiles, event scheduling, submissions","free to users, SaaS to organizers, event fees",events and speaking,2,1,3,3,2,official system of record once a user decides to apply,not a broad discovery or strategy layer,https://www.conferencealerts.com/,official,2026-05-03,Medium
Luma,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"CFPs, speaker profiles, event scheduling, submissions","free to users, SaaS to organizers, event fees",events and speaking,2,1,3,3,2,official system of record once a user decides to apply,not a broad discovery or strategy layer,https://lu.ma/,official,2026-05-03,Medium
Meetup,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"CFPs, speaker profiles, event scheduling, submissions","free to users, SaaS to organizers, event fees",events and speaking,2,1,3,3,2,official system of record once a user decides to apply,not a broad discovery or strategy layer,https://www.meetup.com/,official,2026-05-03,Medium
Eventbrite,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"CFPs, speaker profiles, event scheduling, submissions","free to users, SaaS to organizers, event fees",events and speaking,2,1,3,3,2,official system of record once a user decides to apply,not a broad discovery or strategy layer,https://www.eventbrite.com/,official,2026-05-03,Medium
Sessioneer,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"CFPs, speaker profiles, event scheduling, submissions","free to users, SaaS to organizers, event fees",events and speaking,2,1,3,3,2,official system of record once a user decides to apply,not a broad discovery or strategy layer,https://sessioneer.co/,official,2026-05-03,Medium
Sessionboard,Conference CFP and speaker opportunity platforms,Event submission platform,"speakers, organizers, community leaders",discover or manage CFPs and speaker submissions,"speaker CRM, content management, AI insights, CFP workflows","free to users, SaaS to organizers, event fees",events and speaking,2,1,3,3,2,shows enterprise movement in event-content operations,organizer-side rather than seeker-side,https://www.sessionboard.com/,official,2026-05-03,Medium
UN Volunteers,NGO / UN / policy / impact opportunity platforms,Impact career platform,mission-driven professionals,find roles and programs in impact sectors,"sector-specific jobs, talent pools, alerts, career resources","freemium, subscriptions, recruiting SaaS",impact careers and programs,3,1,2,3,4,high-intent audiences and domain trust,mostly vertical and role-centric,https://www.unv.org/,official,2026-05-03,Medium
UN Careers,NGO / UN / policy / impact opportunity platforms,Impact career platform,mission-driven professionals,find roles and programs in impact sectors,"sector-specific jobs, talent pools, alerts, career resources","freemium, subscriptions, recruiting SaaS",impact careers and programs,3,1,2,3,4,high-intent audiences and domain trust,mostly vertical and role-centric,https://careers.un.org/,official,2026-05-03,Medium
ReliefWeb,NGO / UN / policy / impact opportunity platforms,Impact career platform,mission-driven professionals,find roles and programs in impact sectors,"sector-specific jobs, talent pools, alerts, career resources","freemium, subscriptions, recruiting SaaS",impact careers and programs,3,1,2,3,4,high-intent audiences and domain trust,mostly vertical and role-centric,https://reliefweb.int/jobs,official,2026-05-03,Medium
Devex,NGO / UN / policy / impact opportunity platforms,Impact career platform,mission-driven professionals,find roles and programs in impact sectors,"development jobs, career account, employer access, media","freemium, subscriptions, recruiting SaaS",impact careers and programs,3,1,2,3,3,trusted brand in global development careers,gated content and vertical focus,https://pages.devex.com/career-account,official,2026-05-03,High
Impactpool,NGO / UN / policy / impact opportunity platforms,Impact career platform,mission-driven professionals,find roles and programs in impact sectors,"jobs, talent pools, alerts, employer branding, impact-sector events","freemium, subscriptions, recruiting SaaS",impact careers and programs,3,1,2,3,4,strong fit for NGO and public-sector careers,career vertical rather than broad opportunity planner,https://support.impactpool.org/help/what-kind-of-services-do-impactpool-offer-to-someone-looking-for-a-job,official,2026-05-03,High
Idealist,NGO / UN / policy / impact opportunity platforms,Impact career platform,mission-driven professionals,find roles and programs in impact sectors,"sector-specific jobs, talent pools, alerts, career resources","freemium, subscriptions, recruiting SaaS",impact careers and programs,3,1,2,3,4,high-intent audiences and domain trust,mostly vertical and role-centric,https://www.idealist.org/en,official,2026-05-03,Medium
UNjobs,NGO / UN / policy / impact opportunity platforms,Impact career platform,mission-driven professionals,find roles and programs in impact sectors,"sector-specific jobs, talent pools, alerts, career resources","freemium, subscriptions, recruiting SaaS",impact careers and programs,3,1,2,3,4,high-intent audiences and domain trust,mostly vertical and role-centric,https://unjobs.org/,official,2026-05-03,Medium
Untalent,NGO / UN / policy / impact opportunity platforms,Impact career platform,mission-driven professionals,find roles and programs in impact sectors,"sector-specific jobs, talent pools, alerts, career resources","freemium, subscriptions, recruiting SaaS",impact careers and programs,3,1,2,3,4,high-intent audiences and domain trust,mostly vertical and role-centric,https://untalent.org/,official,2026-05-03,Medium
F6S,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments","founder programs, funding, jobs, perks, applications","free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,huge founder distribution and many program applications in one place,founder-only and noisy,https://www.f6s.com/en,official,2026-05-03,High
Gust,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments","applications, events, startup jobs, community signals","free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,strong communities and clear program brands,no cross-opportunity planning layer,https://gust.com/,official,2026-05-03,Medium
